overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"03 10, 2018",A1LV1W45P7OYAM,B00BMTYW20,{'Format:': ' Amazon Video'},simplyforyou,I love it,Five Stars,1520640000,,
5.0,True,"12 5, 2013",AZRRBC85124J2,B0021SGOF4,{'Format:': ' DVD'},Phill Boas,Just a beautiful story follows a life in a touching and sensitive way that is easy to watch and easy to enjoy,Quality viewing- a human story,1386201600,,
5.0,False,"05 12, 2013",A3HOBD99Y1XY4G,B00000JSJ5,{'Format:': ' Amazon Video'},katwilson,What makes it a classic in my mind is the characters' endurance. They are as wonderful today as they were when this first aired.,It's a classic,1368316800,,
4.0,True,"06 22, 2015",A2ZHRFZSD7LO41,B00IWAF9LU,{'Format:': ' DVD'},Thomas A. Klein,happy with both versions.,good choice,1434931200,,
5.0,True,"11 20, 2014",A13IZDVWQ950PL,630018286X,{'Format:': ' DVD'},mark one,"I haven't see it year but I have been looking fro this movie
am in the movie video and I would like to set up something  just like it
Thanks a lot",... movie am in the movie video and I would like to set up something just like it Thanks a ...,1416441600,,
5.0,True,"12 20, 2013",A2Q9A0I50T1EDG,B003Q6D2B4,{'Format:': ' Amazon Video'},chrisofsc,"Husband and I loved this movie.  Funny, funny and although a lot of action and violence not gory.  We liked it so much that we went and rented Red 2 the same day.",Red,1387497600,,
5.0,True,"11 18, 2006",A11617B1NW474D,B000EGDAF2,{'Format:': ' DVD'},Kristi Branstetter,"This show came out about the time I started getting involved with the disability rights movement in 1989.  This show was on the air when the Americans with Disabitiles Act was signed into law on July 26, 1990.  This was and is the only television show based around a person with a real disability.  I wish there were a lot more television shows like this using people with real disabilities.  This show did a lot to break down barriers for people with disabilities, particularly people with Down Syndrome and other types of mental retardation.  I cannot wait for the remainder of  this wonderful television series to come out on DVD.  I strongly recommend everyone read Chris Burke's book ""Some Kind of Hero.""",Very Good Show,1163808000,13,
5.0,True,"10 31, 2013",A290BUVO6WZE67,B00APH7PTC,{'Format:': ' Blu-ray'},Michaela Y Atkin,"This is one of the best lines of thinking for a series in a long time.  What's scary about it is if the government isn't actually doing this already - which I totally believe they have the capability of doing - they will be soon.  Not long now before you won't be able to wipe your backside without someone knowing the brand of toilet tissue you use.  Sorry.  Had to say it.  But this story line is totally feasible.  I watched season 1 in two days!!!  Yes, it was that interesting.  Taking my time with this one to savour it.",OMG - Big Brother is Watching,1383177600,,
5.0,True,"01 20, 2014",A2AXFV6AJQ07KM,B00DV1XYTO,{'Format:': ' Amazon Video'},Rob Hambleton,"Internships.  High tech.  Google.  Old school meets New School.  Awesomely funny!  A light, funny experience.  Highly recommended for anyone!  Have fun!",Funny!,1390176000,,
1.0,True,"07 22, 2014",A2HCF3U745WQAK,B003L20IG0,{'Format:': ' DVD'},Teri Andrews,thought he waited too long before activating more of a search for the truth,One Star,1405987200,,
5.0,True,"02 8, 2016",A1E2VJU8K0GFGQ,B0009WK5CW,,Bryan king,Love the movie can't wait for new one to come out,Five Stars,1454889600,,
4.0,False,"12 23, 2010",A1O60LWGEJFGUD,B0010KHOSA,{'Format:': ' DVD'},Brad Lloyd,"About 15 minutes into this movie I was saying to myself, ""This is absolutely no a noir movie, with the lush technicolor and infamous voiceover of many 1950s movies, but about halfway in it did finally turn into a noir like story with the main character (Van Heflin) on the run throughout New York for a murder he did not commit.
This would would have been much more effective in Black & White and whoever thought Ginger Rogers could have such an ugly character !
The radiant Gene Tierney was really wasted here as the passive loyal wife of Heflins character.",Was it noir or not ?,1293062400,,
3.0,True,"08 27, 2016",A3IQCEO5ZU2XE2,B005SDCZH0,{'Format:': ' DVD'},Rudy,not that interesting.,Three Stars,1472256000,,
5.0,True,"06 27, 2016",A4CPH1MRKZ0KD,B0016I0AH8,{'Format:': ' DVD'},Forrest,I bought this for my mom since Netflix took it off. She has missed watching it. Now she has it for life.,Great For My Mom,1466985600,,
5.0,True,"07 3, 2013",A2LZGT7T4C26SJ,B001K98M4Q,{'Format:': ' DVD'},Andres Medrano,"The quality of the video is not the best, but its not bad either. I think the quality of the video is good considering YuYu Hakusho is an old anime. Sound is also good. I personally like the dubbing. Also, the soundtrack on the main menu is awesome. Overall, a great buy recommend it if your an anime fan.",Good Buy,1372809600,,
5.0,False,"04 30, 2016",A2PY74MJ4H4M8B,B00KE7PC66,{'Format:': ' DVD'},Blue77,"Jarmusch is still at the top of his game.
If you haven't seen yet you are in for a real treat.",Jarmusch is still at the top of his game. ...,1461974400,,
5.0,False,"12 13, 2010",A3SRBACI3VJD9R,B004FK2MWA,{'Format:': ' DVD'},T. Johnson,"This movie was a blast! Much better than I ever expected a runaway train movie could be. Good acting and fun dialogue help a lot, with Denzel Washington and Chris Pine proving an effective duo, and Rosario Dawson hitting the perfect note as their connection to the rest of the world. The action starts slowly but quickly gets intense and really never lets up until the very end. I like the way the story builds as one mistake compound another mistake until events are completely out of control. Takes awhile for the rush to wear off after you leave the theater. Very well made. Who knew a train could be so menacing? Definitely recommended.",Locomotion,1292198400,11,
3.0,False,"02 24, 2013",A2IK2Z6VJ5VHQM,B005DJ7AYC,{'Format:': ' Blu-ray'},Planetguy,"I saw this again in 2013 (a repeat on PBS) and having recently seen both Tinker Tailors, saw the interesting similarities: Nighy plays a subdued intelligent type like Alec Guiness' (or Gary Oldman's) Smiley. The mysterious spy chief sets things going and dies, Michael Gambon here, and Control there. Both main characters have problems with infidelity in their marriages. The update for Page Eight is that instead of the enemy being the USSR, its now the US (and Israel) to make things as politically correct in the UK as possible.",Tinker Tailor anyone?,1361664000,2,
5.0,True,"05 5, 2014",A3VNJOPAWJM2PH,B00FPPQYXM,{'Format:': ' Amazon Video'},Rick,"Enjoyed this season a lot.  It is a continuation of the previous storyline, and does not disappoint. Looking forward to season 7.",Great series,1399248000,,
4.0,True,"09 4, 2014",ABQQFIYIKN0ZF,6305832161,{'Format:': ' DVD'},oslo gibson,FUNNY A@# MOVIE.,Four Stars,1409788800,,
5.0,True,"06 2, 2014",A19ZAT0A4SB1XD,6303972969,{'Format:': ' Amazon Video'},Tara Piercy,GREAT movie. Love every episode of Xfiles!  They need to make a third movie!!  I can rewatch any of the episodes and love them still. Loved both movies as well!!!,Xfiles rocks!,1401667200,,
5.0,True,"03 4, 2014",A1SA0SPXUGDUGH,B00H9L28OO,{'Format:': ' DVD'},Amazon Customer,It's brilliantly filmed and directed.  The story is wonderful.  The cast is perfect.  It IS indeed an American classic.  This is the film that will be watched over and over for years to come.  It's a story worth telling and worth watching for all ages.  LOVED IT.,THIS is the movie that should have won the Academy Award,1393891200,,
3.0,True,"07 12, 2018",A230ZS8F6I0AGM,B00LZUYM80,{'Format:': ' Amazon Video'},hawthorne wood,"I'm a bit torn. I watched all the way through, but ended  up disappointed. I felt the ""who""-dunnit was revealed a bit too soon, though I hoped it would be a different outcome. I suppose this was an attempt at verisimilitude on the part of the writers and director. It seemed that, based on a true story, and a period piece, they chose ""authenticity"" before drama. But I require a little more 'spice' in my viewing. Also, I don't care for dramas that have no humor (not necessarily riotous, just amusing) in them. There has to be a leavening at some point in order to make it more interesting for me.","An interesting attempt. Didn't quite do it for me, however.",1531353600,2,
5.0,False,"03 26, 2005",A1HRYC60VTMYC0,B000CZ0O54,,BookAce,"This film is to be viewed with an open mind and a quick, discerning eye. It delights the senses, mesmerizes the viewer, is a great medium for a rousing after-film discussion -- but for some, could be a ""test of faith"".

The photography, the lighting, the visuals, the use of darkness, silence and symbolism combined with contemporary life in the Living Stations of the Cross are stunning.

If Jesus had incarnated in 1980's Montreal, perhaps this is what He and His French-speaking followers would have looked like -- running up and down the subway escalators, sharing baby-sitting chores, cooking breakfast for guests, visiting friends in airy lofts, stopping by to visit a fellow-actor doing an X-rated and hilarious dubbing session, and talking with Pharisees (the glib lawyer who wants to promote Daniel/Christ in ridiculous ways, mainly to line his own pockets).

This movie says to us - they were all too human 2000 years ago, who's to say they wouldn't be like that today?

Did the film test my faith? No -- nobody who was there 2000 years ago ever painted a complete picture of what it was really like, so I'm open to plenty of interpretation. I was kept spellbound -- by Jesus the human, very well played by Blutheau, by the strength of his two female friends, by the actors -- all taken from various walks of life -- and how the whole troupe eventually blends into a family of sorts. As the film progresses, it is obvious that Daniel (Blutheau) is incorporating his Christ role into his daily life. The ""Trashing of the Studio"", to protest the exploitation of the women who are auditioning for bit parts, evokes the scene in the Bible where Jesus destroys the money-lenders' tables in the temple.

In the end however, some of those who supported Christ/Blutheau, turn into his tormentors and persecutors, but even the tragic ending of this film brings a redemption in the form of modern day miracles - the blind see, the dying live once again, thanks to Daniel/Christ's final gift - his body.

The film opened with two women in a choir loft singing a haunting refrain. It ends with these same two women, sitting on the floor of the Metro, singing the same songs, begging for coins. This is the same Metro station where the dying Christ (Blutheau) was brought, during his last moments of consciousness.

One viewing is not enough. But by all means -- please see this film at least once.","Abandon all your preconceived notions, all ye who enter here",1111795200,,
5.0,True,"08 3, 2015",A2PDU0O2GKJ5L8,B00EALQOTQ,{'Format:': ' DVD'},patty deak,OMG I love this book.,Marilyn,1438560000,,
1.0,True,"07 25, 2014",A1WSUBZEB2WGBM,6303581307,{'Format:': ' DVD'},Josephine Austin,"This was awful it was burned not the original, it wouldn't even play. Major rip off",One Star,1406246400,2,
5.0,True,"08 25, 2013",A1552AL0FZUXX2,B0001NBMHQ,{'Format:': ' DVD'},Dreighton Rosier,"Human interactions without falling for the soap opera sophistry.  Well done physical surroundings for air ops and escape and evasion on the ground.  In the 1950s unrelated to the Korea Conflict I remember many news reports of American missionaries in Asia, particularly in China and the Korean peninsula.  One scene reminds me of that and made me aware that there has been no recognition of their good work in the mass media for decades.  Set aside smirks about the movie being dated and realize it is timeless in its own way.",Korean Conflict setting for perspective on the human side as experienced by F86 pilots,1377388800,,
5.0,True,"01 17, 2014",A1GR5IFX3T5RD4,B0009W5IMO,{'Format:': ' DVD'},silk cowboy,"Having lived in Maine and traveled through Skowhegan, where this movie was filmed, I couldn't wait to watch this movie.  The Empire Grill is still there.  Very cool.  Good story and good acting here, especially by Paul Newman.",A must have for any Richard Russo fan,1389916800,,
4.0,True,"08 12, 2015",A3GD4UZKIEKWKW,B00X797NJW,{'Format:': ' Prime Video'},P. G. McFinnigan,"Would have been 5 stars, but the lip syncing was just wrong....wrong! With all the talented kids out their, even in their own organization, you'd think they could have done the music with actual singing. Even if the singing was MEH, it still would have been cute, but it wasn't cute. It was lip syncing. I liked the movie though, that's my only gripe. Would still recommend.",Good movie....lip syncing! Yuck!,1439337600,,
1.0,False,"11 15, 2016",A256XZNIP2K5S9,B00A7MSQRK,{'Format:': ' DVD'},matt robinson,"I have never seen the original,  so i have no bias toward it and can't speak for it. I bought red dawn 2012 based off what i saw in the trailers, but the movie was tremendously disappointing. I sat waiting for it to end,  taking joy that it was over. I sold it the next day to some poor soul for one dollar, which to me was more then the movie was worth",taking joy that it was over,1479168000,,
1.0,True,"11 16, 2014",A2BU8PP8HVDAY4,B00J9BZOXY,{'Format:': ' Amazon Video'},wishUnOO,Need to rethink actors.,people are good at certain things...,1416096000,2,
5.0,True,"01 18, 2017",A3KG34ABD2WTW3,B00LKCQOP2,{'Format:': ' Amazon Video'},Stephen Jefferson,This was a really touching and heart felt movie.,Five Stars,1484697600,,
4.0,True,"02 28, 2014",ADC0M9T4U1LIK,B0012IX362,{'Format:': ' DVD'},FantasyDragon,"And this is the result of that meeting. A relatively interesting plotline, thought the CGI needs a little work and the Anubis-creature looks more like a puppet.",The Mummy meets Indiana Jones,1393545600,,
4.0,True,"07 31, 2016",A2A9LOBQEGKH0V,B00BGI07NK,{'Format:': ' Amazon Video'},CDU,Enjoying this.  Haven't seen season 1.,Enjoying this. Haven't seen season 1.,1469923200,,
3.0,False,"10 21, 2013",AN175XHIN3P8C,B0024IWKLS,{'Format:': ' Amazon Video'},Gerold Ransom,"It is an okay movie for the family, I would rate it okay for keeping my attention as long as it did",Good family Movie,1382313600,2,
5.0,True,"03 29, 2016",A1SALEAQL5ED83,B00006953K,,Frank V,Very well done.  Strong cast.  Excellent portrayal of human emotions and moral dilemmas people face when dealing with tragedy.,A must see,1459209600,,
3.0,False,"07 7, 2014",AV6QDP8Q0ONK4,B00KA0VEGO,{'Format:': ' DVD'},The Movie Guy,"The major problem with the story is that we know it. If you don't know the story of ""Rosemary' Baby"" stop reading reviews right now and go watch it and I would suggest the newer version to newer audience. Pardon my sacrilege. Having said that, placing the story in France doesn't really add anything to the tale. With the surprise element gone and not having to figure out the mystery, the film needs an ""A"" game to distinguish itself. Unfortunately this film doesn't get interesting until after the pregnancy.

Like most made for TV offerings, the acting was uneven. Zoe Saldana was acceptable. Patrick J. Adams was bland.",AVE SATANAS!!!,1404691200,,
4.0,False,"03 2, 2013",A237J1BFZ0MD4C,B005LAII7G,{'Format:': ' Blu-ray'},Phillip S. Barton,Good action movie 3D was well done. It would been nice to see a 2nd Dredd movie in this series come out.,Great Movie,1362182400,,
5.0,True,"02 2, 2014",A1EVV74UQYVKRY,B001589S0E,,K. Groh,"This was a great movie to watch on streaming Prime video. I enjoyed the acting, especially Edward Norton. Naomi Watts plays a great character. They are both thrust into a horrible situation of beauty in the countryside mixed with the horrible death by cholera. Naomi's character softens and becomes so colorful and soft on screen as she works with orphans and eventually, softens even more as events unfold that are out of her control. A recommended movie.",Beautiful Movie,1391299200,,
5.0,True,"12 19, 2012",AEZ8WH06SEW6K,630401743X,{'Format:': ' DVD'},Amazon Customer,We love watching these movies at home.  They never get old and we can't wait to watch them over and over again.,Love it,1355875200,,
2.0,False,"09 12, 2003",A5DIAZ5GT3MC,6303336884,{'Format:': ' VHS Tape'},Crazy Jim,"After joining forces in 1993's ""Back In Action"", Billy Blanks and ""Rowdy"" Roddy Piper reunite for this dismal follow-up. This time, Blanks is a special agent with amnesia and Piper is the bounty hunter trying to keep him alive long enough to figure out who he is.
The action sequences aren't as spectacular this go around and the story gets tired fast. Fans of either may want to check out but overall, it's very underwhelming.",Tough and Deadly REVIEW,1063324800,,
1.0,True,"07 9, 2015",A33T5KGF2DHGU5,B0055CP9S6,{'Format:': ' Amazon Video'},poppad75,Not good at all. I didn't even finish watching.,Waste Of Time,1436400000,,
5.0,True,"08 16, 2014",A6YLTUNC8RWN6,B006WN5W5M,{'Format:': ' DVD'},Louis Sasarones,"Have not watched all, but am very pleased and well worth the money.",but am very pleased and well worth the money,1408147200,,
5.0,True,"02 27, 2016",A2PK0ASYDOJXYV,6304153791,{'Format:': ' Blu-ray'},CathyJ,"Son Loves it.  Bought him the whole series for Christmas, he's marathon watching it!",Son Loves it. Bought him the whole series for ...,1456531200,,
5.0,False,"10 16, 2001",ARODYCYK4GZKI,B00004W4GV,{'Format:': ' VHS Tape'},AJ,"Of all Shakespeare's work, Love's Labours Lost must be one of the most difficult to make a movie of. It has little or no action and the entire story depends solely on the dialogue to get along.
However, Kenneth Branagh has managed to make it work. By transplanting the story to the late 1930's and capturing the general mood of the play in songs from musicals of that era, he has managed to keep Shakespear's play intact, while adding the visual elements necessary in movie.
The choreography is absolutely stunning, even more so when one realises that none of the performers is a professional dancer. The songs and the text of the original work flow seemlessly into one another.
As always one of Branagh's greatest achievements is the selection of the cast, assembling an unlikely combination of actors and actresses, most whom would at first seem unsuitable to Shakespeare and to get a more then creditable preformance from this group.
If the dead can come back to earth, I think that William Shakespeare (by nature a showman) is applauding with the audience right now.",A work of genius,1003190400,3,
5.0,True,"05 11, 2014",AWDNSAXALOK0U,B000T22PVG,{'Format:': ' Amazon Video'},dkittykat,Great season for this show.  Brad Garrett at his best.  Each season is funnier than the last.  Never a disappointment.,great show!,1399766400,,
5.0,True,"01 12, 2017",A2GOLV2BBV0W4F,B001DMVZNK,{'Format:': ' DVD'},Veva Villinger,same as on tv,Five Stars,1484179200,,
5.0,True,"02 19, 2018",A2ICG33D5CMS5J,B00AKB8OZC,{'Format:': ' DVD'},Valaam,It's a very good product. Just the way i've been expected. Thank you very much.,Five Stars,1518998400,,
3.0,True,"12 17, 2015",AQHX7QOCHIVRO,B00BDZV54Q,{'Format:': ' DVD'},Alex,"Not as crazy as I hoped it to be, but the chick in the movie is really hot.",Three Stars,1450310400,,
4.0,True,"09 4, 2016",A1P9ZGSKHVNK11,6305017271,{'Format:': ' DVD'},Sailnby,Enjoyable movie.  Would recommend.,Would recommend.,1472947200,,
4.0,True,"11 8, 2015",A9TP75IVMVMGF,B005MYEQ4U,{'Format:': ' Amazon Video'},Michael Badonsky,"Great movie, I really enjoyed it! Typical Owen Wilson acting.",Great movie.,1446940800,,
5.0,True,"10 25, 2014",A3FTA888HIMR0E,6302259096,{'Format:': ' Amazon Video'},Bobee,"In my opinion it's one of the best movies ever made!  I Love this movie, and I don't want to give anything away.  Harrison Ford, did a phenomenal job.  He was incredible!  There are a lot of twists and turns.  This movie is about purpose, and priorities of life; with just the right amount of humor along the way.  Life Lafter, and Humanity,  Bobee",Best Movie Ever!,1414195200,,
5.0,True,"06 1, 2013",A1DZQW7HK65NV1,B005UPYZOC,{'Format:': ' DVD'},Kendall W. Clark,"This set of videos is absolutely wonderful! It is entertaining and informative. Tom Cavanaugh was the perfect pick to give you a fun guided tour of the collections of the Smithsonian! My family and I set down and watch several episodes at a time. We have learned more about the collections and how they came to be than we ever thought possible.

If you are like me and don't know if you will ever get to see the actual Smithsonian or are just wanting to wet your appetite for what you will see, you will love this collection!",Tom Cavanaugh Was The Perfect Pick,1370044800,9,
4.0,True,"03 24, 2004",A3IEVIVN8JYRTC,B00008AOWQ,{'Format:': ' DVD'},Dr. Kenneth T. Bastin MD,"Having watched the tv debut of this series, then the purchased DVD I would have to complement the final product as a better effort, especially from the choice of narration.  This topic is very difficult to do, especially with animation of human-like animals where we can be more critical than with dinosaurs.  The story lines are a bit tedious but interesting.  Still it is difficult to believe we can reconstruct the behavior of the apes and human predecents based on our current database.  I still think the effort is worthy.  The graphics are very well done, possible not appropriate for a young viewer.  In one scene the ""cavemen"" kill a hooved animal and then degut and eat it.  My wife sent our 7 year old out of the room on that one!  Perhaps it is such realism that makes the Walking With series so well received.  Overall a good effort and worthy purchase for such a difficult and challenging subject.",Best DVD on this subject,1080086400,10,
4.0,False,"02 23, 2018",AU1IWUX1SRGPE,B00149JKDO,{'Format:': ' Amazon Video'},3GSea,I liked it. Quite a bit of imagination and engaging movie.,Four Stars,1519344000,,
5.0,True,"06 29, 2015",ALA57PQ9PQEBY,B00N1JPZM0,,Jodie Rivet,Great item!  Love it!!!!,Great item!  Love it!!!!,1435536000,,
5.0,True,"05 31, 2014",A18RFRWVK3FVA9,B00HUAGYF8,{'Format:': ' DVD'},F R Carvell,What a great piece of television!  This would have made a remarkable series that would have been better that 99% of the fodder currently being fed to us.,WOW!,1401494400,,
3.0,False,"08 2, 2014",AKOV5GGJUV0B7,B00EJFEN50,{'Format:': ' Amazon Video'},James P. Horvath,"Is well done and interesting enough, but have seen same story, many times, before.",Three Stars,1406937600,,
5.0,True,"05 9, 2010",A132XOLH9ZH5WZ,B0009GV9H8,{'Format:': ' DVD'},Gary G. Heilman,Good Comedy,Five Stars,1273363200,,
4.0,True,"03 4, 2014",A3U4BVIEJNCJ91,B00H9L28OO,{'Format:': ' Amazon Video'},Amazon Customer,"Depending upon the age of the viewer, this movie evokes different thoughts and emotions.  Dern delivers an outstanding performance and for that alone, the film is well worth watching.  June Squibb however, seems to have been all but overlooked in a stellar performance delivered as Dern's wife.  If there is any weakness in the cast, it comes early from Will Forte who, while growing in the role as one of Dern's two sons, never quite makes it in the performance.  The movie evokes a myriad of emotion from sadness to out-loud laughter.  It is hard to imagine how anyone would not enjoy its viewing.",Better Than You Might Expect.,1393891200,,
5.0,False,"03 24, 2011",A2W34G5XYDFJWP,6305226172,{'Format:': ' DVD'},Jeremy Shingles,"From Michaelmatician: If the observer decides on a film of black & white, created in the 4th decade, containing a story of mudercrime, the results will be sufficiently conclusive. After collecting data, the film runs in its entirety and the process is completed. Impressions will then be recorded and further changes made. It is imporant to note that all events which occur in the film may also occur in the reverse order. This is its shape. Finally, if contact with the film's director must be made, the observer shall not offer the collected data but instead deny the existence of such data and demand input from the director. After this input is recorded as additional data, it will be added to the process which will be repeated. Naked City will then become a film once again, if not for the first time. 2.342",City Reviewed,1300924800,,
5.0,True,"05 4, 2016",A3KJT0D9WQIEU7,6304994567,{'Format:': ' Amazon Video'},James Pappas,"Unique film; visually stunning, imaginatively written.",Five Stars,1462320000,,
